Entity,Code_x,Year_x,Share of deaths,"Region, subregion, country or area",PercentageUrban,2019_qcut,Code_y,Year_y,"GDP per capita (output, multiple price benchmarks)",GDP Categories
Hungary,HUN,2019,6.5540886,Hungary,71.6,medium-high,HUN,2019,29236.4,high GDP
Iceland,ISL,2019,0.90118796,Iceland,93.9,high,ISL,2019,53011.742,high GDP
India,IND,2019,18.097055,India,34.5,low,IND,2019,6711.385,low GDP
Indonesia,IDN,2019,10.366579,Indonesia,56.0,medium-low,IDN,2019,11595.102,medium GDP
Iraq,IRQ,2019,14.995286,Iraq,70.7,medium-high,IRQ,2019,11920.252,medium GDP
Ireland,IRL,2019,1.6819842,Ireland,63.4,medium-high,IRL,2019,102622.45,high GDP
Israel,ISR,2019,5.124964,Israel,92.5,high,ISR,2019,38562.625,high GDP
Italy,ITA,2019,4.2661047,Italy,70.7,medium-high,ITA,2019,40732.03,high GDP
Jamaica,JAM,2019,6.016723,Jamaica,56.0,medium-low,JAM,2019,8434.522,medium GDP
Japan,JPN,2019,3.060241,Japan,91.7,high,JPN,2019,39704.234,high GDP
Jordan,JOR,2019,9.813195,Jordan,91.2,high,JOR,2019,10789.006,medium GDP
Kazakhstan,KAZ,2019,8.671333,Kazakhstan,57.5,medium-low,KAZ,2019,28306.396,high GDP
Kenya,KEN,2019,10.926474,Kenya,27.5,low,KEN,2019,4236.668,low GDP
Kuwait,KWT,2019,14.88958,Kuwait,100.0,high,KWT,2019,62054.52,high GDP
Kyrgyzstan,KGZ,2019,12.572305,Kyrgyzstan,36.6,low,KGZ,2019,6135.855,low GDP
Latvia,LVA,2019,4.239611,Latvia,68.2,medium-high,LVA,2019,29411.12,high GDP
Lebanon,LBN,2019,9.842846,Lebanon,88.8,high,LBN,2019,14749.867,medium GDP
Lesotho,LSO,2019,9.102214,Lesotho,28.6,low,LSO,2019,2694.87,low GDP
Liberia,LBR,2019,13.6198635,Liberia,51.6,medium-low,LBR,2019,1258.1931,low GDP
Lithuania,LTU,2019,3.2779295,Lithuania,67.9,medium-high,LTU,2019,32483.44,high GDP
Luxembourg,LUX,2019,2.4599354,Luxembourg,91.2,high,LUX,2019,90479.41,high GDP
Madagascar,MDG,2019,16.664843,Madagascar,37.9,low,MDG,2019,1539.063,low GDP
Malawi,MWI,2019,13.109669,Malawi,17.2,low,MWI,2019,1161.3806,low GDP
Malaysia,MYS,2019,6.1238647,Malaysia,76.6,medium-high,MYS,2019,25735.309,medium GDP
Maldives,MDV,2019,5.5576234,Maldives,40.2,low,MDV,2019,19411.275,medium GDP
Mali,MLI,2019,14.176149,Mali,43.1,medium-low,MLI,2019,2446.2075,low GDP
Malta,MLT,2019,4.1736517,Malta,94.7,high,MLT,2019,38910.08,high GDP
Mauritania,MRT,2019,13.30946,Mauritania,54.5,medium-low,MRT,2019,4676.1816,low GDP
Mauritius,MUS,2019,5.5777016,Mauritius,40.8,low,MUS,2019,23437.75,medium GDP
Mexico,MEX,2019,6.6507077,Mexico,80.4,medium-high,MEX,2019,18736.527,medium GDP
Mongolia,MNG,2019,13.067182,Mongolia,68.5,medium-high,MNG,2019,11900.283,medium GDP
Montenegro,MNE,2019,10.334127,Montenegro,67.2,medium-high,MNE,2019,21849.92,medium GDP
Morocco,MAR,2019,12.381488,Morocco,63.0,medium-low,MAR,2019,7923.9307,low GDP
Mozambique,MOZ,2019,12.583029,Mozambique,36.5,low,MOZ,2019,1228.8705,low GDP
Myanmar,MMR,2019,18.156124,Myanmar,30.9,low,MMR,2019,5153.375,low GDP
Namibia,NAM,2019,9.470348,Namibia,51.0,medium-low,NAM,2019,9353.127,medium GDP
Nepal,NPL,2019,23.133001,Nepal,20.2,low,NPL,2019,3631.0178,low GDP
Netherlands,NLD,2019,3.1293,Netherlands,91.9,high,NLD,2019,55569.44,high GDP
New Zealand,NZL,2019,0.9660047,New Zealand,86.6,high,NZL,2019,41522.477,high GDP
Nicaragua,NIC,2019,9.967102,Nicaragua,58.8,medium-low,NIC,2019,5024.2754,low GDP
Niger,NER,2019,17.699299,Niger,16.5,low,NER,2019,1210.8782,low GDP
Nigeria,NGA,2019,12.561923,Nigeria,51.2,medium-low,NGA,2019,4983.6753,low GDP
Norway,NOR,2019,1.1047429,Norway,82.6,high,NOR,2019,73668.79,high GDP
Oman,OMN,2019,14.158104,Oman,85.4,high,OMN,2019,30723.287,high GDP
Pakistan,PAK,2019,16.882307,Pakistan,36.9,low,PAK,2019,5026.2085,low GDP
Panama,PAN,2019,4.181566,Panama,68.1,medium-high,PAN,2019,29879.904,high GDP
Paraguay,PRY,2019,6.9120026,Paraguay,61.9,medium-low,PRY,2019,12319.808,medium GDP
Peru,PER,2019,7.5373335,Peru,78.1,medium-high,PER,2019,12236.712,medium GDP
Philippines,PHL,2019,12.095477,Philippines,47.1,medium-low,PHL,2019,8448.533,medium GDP
Poland,POL,2019,7.4299574,Poland,60.0,medium-low,POL,2019,31985.158,high GDP
Portugal,PRT,2019,2.003581,Portugal,65.8,medium-high,PRT,2019,31796.8,high GDP
Qatar,QAT,2019,14.967405,Qatar,99.2,high,QAT,2019,114100.81,high GDP
Romania,ROU,2019,6.3162856,Romania,54.1,medium-low,ROU,2019,27888.36,high GDP
Rwanda,RWA,2019,15.072112,Rwanda,17.3,low,RWA,2019,2279.5068,low GDP
Saint Kitts and Nevis,KNA,2019,2.3217382,Saint Kitts and Nevis,30.8,low,KNA,2019,22938.94,medium GDP
Saint Lucia,LCA,2019,5.9146013,Saint Lucia,18.8,low,LCA,2019,14237.587,medium GDP
Saint Vincent and the Grenadines,VCT,2019,6.2914705,Saint Vincent and the Grenadines,52.6,medium-low,VCT,2019,11101.596,medium GDP
Sao Tome and Principe,STP,2019,14.900057,Sao Tome and Principe,73.6,medium-high,STP,2019,3784.7568,low GDP
Saudi Arabia,SAU,2019,14.74984,Saudi Arabia,84.1,high,SAU,2019,51824.88,high GDP
Senegal,SEN,2019,14.765963,Senegal,47.7,medium-low,SEN,2019,3247.833,low GDP
Serbia,SRB,2019,10.14162,Serbia,56.3,medium-low,SRB,2019,17220.316,medium GDP
Seychelles,SYC,2019,4.411889,Seychelles,57.1,medium-low,SYC,2019,27783.162,high GDP
Sierra Leone,SLE,2019,15.469969,Sierra Leone,42.5,low,SLE,2019,1875.1897,low GDP
Singapore,SGP,2019,5.8047347,Singapore,100.0,high,SGP,2019,82336.34,high GDP
Slovakia,SVK,2019,6.3187532,Slovakia,53.7,medium-low,SVK,2019,27473.168,high GDP
Slovenia,SVN,2019,4.443596,Slovenia,54.8,medium-low,SVN,2019,34093.465,high GDP
South Africa,ZAF,2019,6.4122596,South Africa,66.9,medium-high,ZAF,2019,12536.135,medium GDP
Spain,ESP,2019,2.6873534,Spain,80.6,medium-high,ESP,2019,40366.4,high GDP
Sri Lanka,LKA,2019,10.097352,Sri Lanka,18.6,low,LKA,2019,13290.122,medium GDP
Sudan,SDN,2019,15.9512205,Sudan,34.9,low,SDN,2019,4230.835,low GDP
Suriname,SUR,2019,6.8907795,Suriname,66.1,medium-high,SUR,2019,14480.707,medium GDP
Sweden,SWE,2019,0.81253004,Sweden,87.7,high,SWE,2019,52433.336,high GDP
Switzerland,CHE,2019,2.3141341,Switzerland,73.8,medium-high,CHE,2019,75298.82,high GDP
Tajikistan,TJK,2019,15.940316,Tajikistan,27.3,low,TJK,2019,3893.754,low GDP
Thailand,THA,2019,7.889034,Thailand,50.7,medium-low,THA,2019,17116.309,medium GDP
Togo,TGO,2019,14.80089,Togo,42.2,low,TGO,2019,2235.2266,low GDP
Trinidad and Tobago,TTO,2019,7.2388487,Trinidad and Tobago,53.2,medium-low,TTO,2019,28643.447,high GDP
Tunisia,TUN,2019,10.716591,Tunisia,69.3,medium-high,TUN,2019,11090.384,medium GDP
Turkey,TUR,2019,9.451574,Turkey,75.6,medium-high,TUR,2019,26947.576,high GDP
Turkmenistan,TKM,2019,10.861875,Turkmenistan,52.0,medium-low,TKM,2019,26026.03,high GDP
Uganda,UGA,2019,13.576797,Uganda,24.4,low,UGA,2019,2092.1492,low GDP
Ukraine,UKR,2019,6.168804,Ukraine,69.5,medium-high,UKR,2019,13144.867,medium GDP
United Arab Emirates,ARE,2019,12.422841,United Arab Emirates,86.8,high,ARE,2019,66112.72,high GDP
United Kingdom,GBR,2019,2.4022942,United Kingdom,83.7,high,GBR,2019,44274.957,high GDP
United States,USA,2019,1.9975044,United States,82.5,high,USA,2019,62589.0,high GDP
Uruguay,URY,2019,2.409878,Uruguay,95.4,high,URY,2019,20545.422,medium GDP
Yemen,YEM,2019,14.387698,Yemen,37.3,low,YEM,2019,1777.2511,low GDP
Zambia,ZMB,2019,11.249609,Zambia,44.1,medium-low,ZMB,2019,3179.1958,low GDP
Zimbabwe,ZWE,2019,10.997446,Zimbabwe,32.2,low,ZWE,2019,2787.659,low GDP
